"Issue Name","Issue Type","Issue Priority","URLs","% of Total","Description","How To Fix","Help URL"
"Images: Missing Size Attributes","Opportunity","Low","42","82.350","Image elements without dimensions (width and height size attributes) specified in the HTML. This can cause large layout shifts as the page loads and be frustrating experience for users. It is one of the major reasons that contributes to a high Cumulative Layout Shift (CLS).","Define all image sizes as their native size using width and height attributes in the HTML. This allows the browser to calculate enough space for each image before it loads, avoiding large layout shifts.",""
"Security: HTTP URLs","Issue","High","121","100.000","HTTP URLs that are encountered in the crawl. All websites should be secure over HTTPS today on the web. Not only is it important for security, but it's now expected by users. Chrome and other browsers display a 'Not Secure' message against any URLs that are HTTP, or have mixed content issues (where they load insecure resources on them). To view how these URLs were discovered, view their 'inlinks' in the lower window tab. You can also export any pages that link to HTTP URLs via 'Bulk Export > Security > HTTP URLs Inlinks'.","All URLs should be to secure HTTPS pages. Pages should be served over HTTPS, any internal links should be updated to HTTPS versions and HTTP URLs should 301 redirect to HTTPS versions. HTTP URLs identified in this filter that are redirecting to HTTPS versions already should be updated to link to the correct HTTPS versions directly.",""
"Links: Outlinks To Localhost","Issue","High","75","100.000","Pages that contain links that reference localhost or the 127.0.0.1 loopback address. Localhost is the address of the local computer, which is used in development to view a site in a browser without being connected to the internet. These links will not work for users on a live website. These links can be seen in the 'Outlinks' tab, where the 'To' address contains 'localhost' or the 127.0.0.1 loopback address. Export in bulk via 'Bulk Export > Links > Outlinks To Localhost'.","Review the 'Outlinks' tab for the localhost and/or 127.0.0.1 loopback address links and update them to the correct publicly available URL address.",""
"Hreflang: Missing Return Links","Issue","High","9","12.000","URLs with missing return links (or 'return tags' in Google Search Console) to them, from their alternate pages. Hreflang is reciprocal, so all alternate versions must confirm the relationship. When page X links to page Y using hreflang to specify it as its alternate page, page Y must have a return link. No return links means the hreflang annotations may be ignored or not interpreted correctly. The missing return links URLs can be seen in the lower window 'URL Details' pane with a 'missing' confirmation status. They can be exported in bulk via the 'Reports > Hreflang > Missing Return Links' export.","Ensure alternate pages include hreflang annotations to URLs which are missing return links. This will confirm they are a 'set' of alternate pages.",""
"Validation: HTML Document Over 2MB","Issue","High","1","0.830","Pages which are over 2MB in document size. This is important as Googlebot limit their crawling and indexing to the first 2MB of an HTML file or supported text-based file. This size does not include resources referenced in the HTML such as images, videos, CSS, and JavaScript that are fetched separately. Google only considers the first 2MB of the file for indexing and stops crawling afterwards. The file size limit is applied on the uncompressed data. The median size of a HTML file is about 30 kilobytes (kB), so pages are highly unlikely to reach this limit.","Ensure all pages are below the configured limit in file size. Identify why the page is so ridiculously large, and consider any necessary improvements, such as moving inline CSS and scripts to external files or breaking up the page where appropriate.",""
"Directives: Nofollow","Warning","High","4","3.330","URLs containing a 'nofollow' directive in either a robots meta tag or X-Robots-Tag in the HTTP header. This is a 'hint' which tells the search engines not to follow any links on the page for crawling. This is generally used by mistake in combination with 'noindex', when there is no need to include this directive as it stops 'PageRank' from being passed onwards. To crawl pages with a nofollow directive within the SEO Spider, enable 'Follow Internal Nofollow' via 'Config > Spider'.","URLs with a 'nofollow' should be reviewed carefully to ensure that links shouldn't be crawled and PageRank shouldn't be passed on. If outlinks should be crawled and PageRank should be passed onwards, then the 'nofollow' directive should be removed.",""
"Links: Pages With High External Outlinks","Warning","Low","3","4.000","Pages that have a high number of followed external outlinks on them based upon the 'High External Outlinks' preferences under 'Config > Spider > Preferences'. External outlinks are hyperlinks to another subdomain or domain (depending on your configuration). This might be completely valid, such as linking to another part of the same root domain, or linking to other useful websites. External followed outlinks can be seen in the 'Outlinks' tab, with the 'All Link Types' filter set to 'Hyperlinks' where the 'Follow' column is 'True'.","Review followed external outlinks to ensure they are to credible, trusted and relevant websites that are useful to your users.",""
"Content: Readability Difficult","Opportunity","Low","2","2.670","Copy on the page is difficult to read and best understood by college graduates according to the Flesch reading-ease score formula. Copy that has long sentences and uses complex words are generally harder to read and understand.","Consider improving the readability of copy for your target audience. Copy that uses shorter sentences with less complex words is often easier to read and understand.",""
"Canonicals: Canonicalised","Warning","High","67","89.330","Pages that have a canonical to a different URL. The URL is 'canonicalised' to another location. This means the search engines are being instructed to not index the page, and the indexing and linking properties should be consolidated to the URL in the canonical.","These URLs should be reviewed carefully to ensure the indexing and link signals are being consolidated to the correct URL. In a perfect world, a website wouldn't need to canonicalise any URLs as only canonical versions would be linked to internally on a website, but often they are required due to various circumstances outside of control, and to prevent duplicate content. Update internal links to canonical versions of URLs where possible.",""
"Security: Form on HTTP URL","Issue","High","75","61.980","This indicates that a form is on an HTTP page. Any data entered into the form, including usernames and passwords is not secure. The form can be viewed by clicking on the URL in the top window and then the 'URL Details' lower window tab, which will display the details of the form on the HTTP URL.","All HTTP pages with forms should be changed to HTTPS to avoid security issues for users, and problems loading in a browser.",""
"Hreflang: Outside <head>","Issue","High","8","10.670","Pages with an hreflang link element that is outside of the <head> element in the HTML. The hreflang link element should be within the <head> element, or search engines will ignore it.","Ensure hreflang link elements are in the <head> element of a page's HTML to be used by search engines.",""
